fila,atendidas,abandonadas,totais,tempoatendidas,tempoabandonadas
601,1681,109,1790,45:09:18,00:33:00
601,1678,134,1812,45:07:34,00:22:46
601,1879,115,1994,57:55:11,00:17:02
601,1975,122,2097,60:25:50,00:28:06
601,1556,103,1659,43:01:41,00:49:20
601,1689,82,1771,46:06:49,00:30:13
601,1661,94,1755,49:46:58,00:25:05
601,1865,90,1955,55:02:29,00:17:10
601,2353,138,2491,62:27:57,01:15:29
601,2201,259,2460,65:55:31,02:35:50
601,2031,187,2218,58:10:11,02:19:30
601,1793,104,1897,50:31:41,00:33:49
601,1794,87,1881,49:54:50,00:27:34
601,1777,117,1894,49:57:05,01:10:59
601,1809,144,1953,56:45:12,00:36:32
601,1891,106,1997,52:57:47,00:29:19
601,2410,179,2589,69:51:11,00:33:17
601,2039,136,2175,58:51:02,00:39:04
601,1607,108,1715,44:02:36,00:39:50
601,1639,114,1753,47:35:23,00:18:37
